,markers,AUC,p_value,p_corrected,significant
0,wSMI_1_mean,0.5668965517241379,0.11988011988011989,0.4542124542124542,p > 0.05
1,wSMI_1_mean,0.5779310344827586,0.11988011988011989,0.4542124542124542,p > 0.05
2,wSMI_1_mean,0.5931034482758621,0.11988011988011989,0.4542124542124542,p > 0.05
3,wSMI_1_mean,0.6041379310344829,0.11988011988011989,0.4542124542124542,p > 0.05
4,wSMI_1_mean,0.5186206896551724,0.11988011988011989,0.4542124542124542,p > 0.05
5,wSMI_1_mean,0.4827586206896552,0.11988011988011989,0.4542124542124542,p > 0.05
6,wSMI_1_mean,0.5028571428571429,0.11988011988011989,0.4542124542124542,p > 0.05
7,wSMI_1_mean,0.5428571428571428,0.11988011988011989,0.4542124542124542,p > 0.05
8,wSMI_1_mean,0.46285714285714286,0.11988011988011989,0.4542124542124542,p > 0.05
9,wSMI_1_mean,0.4985714285714286,0.11988011988011989,0.4542124542124542,p > 0.05
10,wSMI_1_std,0.5489655172413793,0.2777222777222777,0.6943056943056942,p > 0.05
11,wSMI_1_std,0.3186206896551724,0.2777222777222777,0.6943056943056942,p > 0.05
12,wSMI_1_std,0.5462068965517242,0.2777222777222777,0.6943056943056942,p > 0.05
13,wSMI_1_std,0.5296551724137931,0.2777222777222777,0.6943056943056942,p > 0.05
14,wSMI_1_std,0.5406896551724137,0.2777222777222777,0.6943056943056942,p > 0.05
15,wSMI_1_std,0.5103448275862069,0.2777222777222777,0.6943056943056942,p > 0.05
16,wSMI_1_std,0.5071428571428571,0.2777222777222777,0.6943056943056942,p > 0.05
17,wSMI_1_std,0.56,0.2777222777222777,0.6943056943056942,p > 0.05
18,wSMI_1_std,0.5457142857142856,0.2777222777222777,0.6943056943056942,p > 0.05
19,wSMI_1_std,0.5657142857142857,0.2777222777222777,0.6943056943056942,p > 0.05
20,wSMI_2_mean,0.5062068965517241,0.6493506493506493,0.9398496240601504,p > 0.05
21,wSMI_2_mean,0.5213793103448275,0.6493506493506493,0.9398496240601504,p > 0.05
22,wSMI_2_mean,0.3158620689655172,0.6493506493506493,0.9398496240601504,p > 0.05
